repetition_index,time_seconds,repetition_time_seconds,percent,standard_angle,mean_angle,sd_angle,repetition_duration_seconds
1,0.0,0.0,0.0,4.345079,4.096667,3.352973,2.9525
1,0.029525,0.029525,1.0,4.460087,4.344862,3.433257,2.9525
1,0.05905,0.05905,2.0,4.60373,4.593707,3.564165,2.9525
1,0.088575,0.088575,3.0,4.907717,4.805112,3.520876,2.9525
1,0.1181,0.1181,4.0,5.265683,5.178303,3.378988,2.9525
1,0.147625,0.147625,5.0,5.684381,5.616599,3.292862,2.9525
1,0.17715,0.17715,6.0,6.190137,6.134695,3.296121,2.9525
1,0.206675,0.206675,7.0,6.847602,6.687197,3.329781,2.9525
1,0.2362,0.2362,8.0,7.758479,7.333892,3.463173,2.9525
1,0.265725,0.265725,9.0,8.950451,8.465626,3.776414,2.9525
1,0.29525,0.29525,10.0,10.457084,10.170988,4.3941,2.9525
1,0.324775,0.324775,11.0,12.279419,12.094552,5.267171,2.9525
1,0.3543,0.3543,12.0,14.325691,14.220363,6.18572,2.9525
1,0.383825,0.383825,13.0,16.484452,16.445566,7.140351,2.9525
1,0.41335,0.41335,14.0,18.703877,18.696987,8.169528,2.9525
1,0.442875,0.442875,15.0,20.991329,20.964792,9.266553,2.9525
1,0.4724,0.4724,16.0,23.442619,23.191678,10.386354,2.9525
1,0.501925,0.501925,17.0,26.082674,25.657623,11.670992,2.9525
1,0.53145,0.53145,18.0,28.837976,28.702015,13.123771,2.9525
1,0.560975,0.560975,19.0,31.672593,31.897259,14.669098,2.9525
1,0.5905,0.5905,20.0,34.584183,34.741304,15.917751,2.9525
1,0.620025,0.620025,21.0,37.490196,37.364765,16.700682,2.9525
1,0.64955,0.64955,22.0,40.395386,40.215572,17.166023,2.9525
1,0.679075,0.679075,23.0,43.420108,43.232078,17.615334,2.9525
1,0.7086,0.7086,24.0,46.646552,46.423212,18.308239,2.9525
1,0.738125,0.738125,25.0,50.046976,49.864915,19.02649,2.9525
1,0.76765,0.76765,26.0,53.491086,53.496984,18.991405,2.9525
1,0.797175,0.797175,27.0,56.868304,57.217691,19.052011,2.9525
1,0.8267,0.8267,28.0,60.092844,60.452627,18.637118,2.9525
1,0.856225,0.856225,29.0,63.127379,63.309303,18.085767,2.9525
1,0.88575,0.88575,30.0,66.04279,65.987617,17.521741,2.9525
1,0.915275,0.915275,31.0,68.9453,68.669654,16.970689,2.9525
1,0.9448,0.9448,32.0,71.820244,71.794747,15.428617,2.9525
1,0.974325,0.974325,33.0,74.703869,74.965178,13.880135,2.9525
1,1.00385,1.00385,34.0,77.516954,77.684022,13.255863,2.9525
1,1.033375,1.033375,35.0,80.12417,80.405746,12.597877,2.9525
1,1.0629,1.0629,36.0,82.465079,82.73508,11.618306,2.9525
1,1.092425,1.092425,37.0,84.600597,84.830825,10.526989,2.9525
1,1.12195,1.12195,38.0,86.521472,86.669725,9.773246,2.9525
1,1.151475,1.151475,39.0,88.318834,88.361611,9.217341,2.9525
1,1.181,1.181,40.0,90.018628,90.010122,8.825563,2.9525
1,1.210525,1.210525,41.0,91.646866,91.721889,8.303033,2.9525
1,1.24005,1.24005,42.0,93.198902,93.329795,7.704393,2.9525
1,1.269575,1.269575,43.0,94.683605,94.810914,7.008395,2.9525
1,1.2991,1.2991,44.0,96.069809,96.121791,6.439122,2.9525
1,1.328625,1.328625,45.0,97.376512,97.433634,6.088247,2.9525
1,1.35815,1.35815,46.0,98.626758,98.652908,5.746796,2.9525
1,1.387675,1.387675,47.0,99.832843,99.863313,5.470522,2.9525
1,1.4172,1.4172,48.0,100.991613,101.062141,5.205094,2.9525
1,1.446725,1.446725,49.0,102.134949,102.15222,4.860549,2.9525
1,1.47625,1.47625,50.0,103.216494,103.227483,4.532595,2.9525
1,1.505775,1.505775,51.0,104.199042,104.369586,3.842348,2.9525
1,1.5353,1.5353,52.0,105.086209,105.271039,3.481268,2.9525
1,1.564825,1.564825,53.0,105.877048,105.97488,3.206939,2.9525
1,1.59435,1.59435,54.0,106.55803,106.588058,2.890066,2.9525
1,1.623875,1.623875,55.0,107.137556,107.181676,2.64584,2.9525
1,1.6534,1.6534,56.0,107.641582,107.774495,2.48552,2.9525
1,1.682925,1.682925,57.0,108.031182,108.168669,2.25608,2.9525
1,1.71245,1.71245,58.0,108.284461,108.495015,2.005763,2.9525
1,1.741975,1.741975,59.0,108.324761,108.536056,1.9162,2.9525
1,1.7715,1.7715,60.0,108.171837,108.448071,2.011416,2.9525
1,1.801025,1.801025,61.0,107.826832,107.975993,2.437176,2.9525
1,1.83055,1.83055,62.0,107.310994,107.404048,3.048729,2.9525
1,1.860075,1.860075,63.0,106.622027,106.76999,3.641694,2.9525
1,1.8896,1.8896,64.0,105.695227,105.956866,4.054743,2.9525
1,1.919125,1.919125,65.0,104.498187,105.003235,4.470704,2.9525
1,1.94865,1.94865,66.0,102.979649,103.341993,5.057111,2.9525
1,1.978175,1.978175,67.0,101.159771,101.418848,5.839059,2.9525
1,2.0077,2.0077,68.0,99.041935,99.177302,6.776326,2.9525
1,2.037225,2.037225,69.0,96.757235,96.857476,7.616026,2.9525
1,2.06675,2.06675,70.0,94.327663,94.414055,8.331229,2.9525
1,2.096275,2.096275,71.0,91.721968,91.918491,9.062053,2.9525
1,2.1258,2.1258,72.0,88.930215,89.270988,9.784357,2.9525
1,2.155325,2.155325,73.0,85.822329,86.148828,10.824838,2.9525
1,2.18485,2.18485,74.0,82.298387,82.898715,11.668397,2.9525
1,2.214375,2.214375,75.0,78.348946,78.874622,12.201038,2.9525
1,2.2439,2.2439,76.0,74.106835,74.298784,12.828276,2.9525
1,2.273425,2.273425,77.0,69.614652,69.523781,13.742176,2.9525
1,2.30295,2.30295,78.0,64.94095,64.938276,14.717248,2.9525
1,2.332475,2.332475,79.0,60.15359,60.437799,15.610894,2.9525
1,2.362,2.362,80.0,55.282172,55.506108,16.232107,2.9525
1,2.391525,2.391525,81.0,50.355424,50.361986,16.214036,2.9525
1,2.42105,2.42105,82.0,45.335014,45.166691,16.128516,2.9525
1,2.450575,2.450575,83.0,40.30267,40.304534,15.485897,2.9525
1,2.4801,2.4801,84.0,35.474596,35.335752,14.619582,2.9525
1,2.509625,2.509625,85.0,30.868058,30.344388,13.952799,2.9525
1,2.53915,2.53915,86.0,26.386262,26.221616,13.255235,2.9525
1,2.568675,2.568675,87.0,22.178604,22.134,12.59293,2.9525
1,2.5982,2.5982,88.0,18.373305,17.895555,12.138072,2.9525
1,2.627725,2.627725,89.0,14.850639,14.297463,11.252663,2.9525
1,2.65725,2.65725,90.0,11.669837,11.317891,9.943268,2.9525
1,2.686775,2.686775,91.0,9.034914,8.608286,8.276468,2.9525
1,2.7163,2.7163,92.0,6.867972,6.229989,6.813735,2.9525
1,2.745825,2.745825,93.0,5.247311,4.72094,5.049441,2.9525
1,2.77535,2.77535,94.0,4.144616,3.462755,3.43431,2.9525
1,2.804875,2.804875,95.0,3.499572,3.214587,2.80744,2.9525
1,2.8344,2.8344,96.0,3.162686,3.094811,2.631613,2.9525
1,2.863925,2.863925,97.0,3.083786,3.004766,2.756688,2.9525
1,2.89345,2.89345,98.0,3.060869,3.03651,2.944418,2.9525
1,2.922975,2.922975,99.0,3.052383,3.068255,3.148426,2.9525
1,2.9525,2.9525,100.0,3.068255,3.1,3.365751,2.9525
2,2.982025,0.029525,1.0,4.460087,4.344862,3.433257,2.9525
2,3.01155,0.05905,2.0,4.60373,4.593707,3.564165,2.9525
2,3.041075,0.088575,3.0,4.907717,4.805112,3.520876,2.9525
2,3.0706,0.1181,4.0,5.265683,5.178303,3.378988,2.9525
2,3.100125,0.147625,5.0,5.684381,5.616599,3.292862,2.9525
2,3.12965,0.17715,6.0,6.190137,6.134695,3.296121,2.9525
2,3.159175,0.206675,7.0,6.847602,6.687197,3.329781,2.9525
2,3.1887,0.2362,8.0,7.758479,7.333892,3.463173,2.9525
2,3.218225,0.265725,9.0,8.950451,8.465626,3.776414,2.9525
2,3.24775,0.29525,10.0,10.457084,10.170988,4.3941,2.9525
2,3.277275,0.324775,11.0,12.279419,12.094552,5.267171,2.9525
2,3.3068,0.3543,12.0,14.325691,14.220363,6.18572,2.9525
2,3.336325,0.383825,13.0,16.484452,16.445566,7.140351,2.9525
2,3.36585,0.41335,14.0,18.703877,18.696987,8.169528,2.9525
2,3.395375,0.442875,15.0,20.991329,20.964792,9.266553,2.9525
2,3.4249,0.4724,16.0,23.442619,23.191678,10.386354,2.9525
2,3.454425,0.501925,17.0,26.082674,25.657623,11.670992,2.9525
2,3.48395,0.53145,18.0,28.837976,28.702015,13.123771,2.9525
2,3.513475,0.560975,19.0,31.672593,31.897259,14.669098,2.9525
2,3.543,0.5905,20.0,34.584183,34.741304,15.917751,2.9525
2,3.572525,0.620025,21.0,37.490196,37.364765,16.700682,2.9525
