section,name,value
metrics,patientPeakAngle,44.835925
metrics,standardPeakAngle,102.884455
metrics,peakAngleDifference,-58.04853
metrics,patientPeakPercent,66.0
metrics,standardPeakPercent,51.0
metrics,peakTimingDifferencePercent,15.0
metrics,patientMinAngle,5.068031
metrics,standardMinAngle,7.985524
metrics,minAngleDifference,-2.917493
metrics,patientAmplitude,39.767894
metrics,standardAmplitude,94.898931
metrics,amplitudeDifference,-55.131037
metrics,amplitudeRatio,0.419055
metrics,rangeOfMotionPercentOfStandard,41.905524
metrics,mae,28.590194
metrics,rmse,36.487934
metrics,shapeRmseAfterOffsetCorrection,23.106989
metrics,maxAbsoluteDeviation,62.649725
metrics,meanSignedDeviation,-28.238916
metrics,correlation,0.903803
metrics,outsideStandardBandPercent,56.435644
segmentMetricSummary,segmentRmseMean,37.809309
segmentMetricSummary,segmentRmseStd,2.543357
segmentMetricSummary,segmentAmplitudeDifferenceMean,-54.285103
segmentMetricSummary,segmentPeakAngleDifferenceMean,-59.69324
segmentMetricSummary,segmentOutsideStandardBandPercentMean,62.376238
componentStatus,overall,significant_deviation
componentStatus,shape,significant_deviation
componentStatus,rangeOfMotion,significant_deviation
componentStatus,verticalOffset,significant_deviation
componentStatus,standardBand,significant_deviation
engineeringThresholds,validationStatus,preliminary_engineering_thresholds_not_clinically_validated
engineeringThresholds,normalRmseMax,8.0
engineeringThresholds,mildRmseMax,18.0
engineeringThresholds,normalAmplitudeDifferenceMax,10.0
engineeringThresholds,mildAmplitudeDifferenceMax,25.0
engineeringThresholds,normalOutsideStandardBandMax,20.0
engineeringThresholds,mildOutsideStandardBandMax,50.0
classification,status,significant_deviation
classification,confidence,medium
classification,comparisonMode,segmented
metadata,comparisonVersion,v0.5-robust-component-metrics
